Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
"Funk, Orn and Ziemann",Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),Michael Brown,1/2/2024,SAAS,Qualified,2,,,1134,3/10/1900,11/7/2024,
"Lind, Kris and Dach",Netherlands,52.370216,4.895168,Telecommunications,Micro (1-10),Jessica Martinez,1/23/2024,SAAS,Qualified,2,,,1183,2/8/1900,6/19/2024,
Von Inc,Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Micro (1-10),Emily Johnson,1/4/2024,SAAS,Qualified,2,,,521,3/20/1900,4/30/2024,
"Kuhic, Kiehn and Satterfield",Germany,52.520008,13.404954,Retail & Distribution,Micro (1-10),Kevin Anderson,1/26/2024,Custom solution,Qualified,2,,,510,2/8/1900,6/17/2024,
"Ratke, Schowalter and Hilpert",Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Sarah Davis,3/14/2024,Services,Qualified,2,,,219,3/10/1900,9/1/2024,
"Lakin, Langworth and Kozey",Switzerland,46.204391,6.143158,Manufacturing & Production,Micro (1-10),Emily Johnson,5/6/2024,SAAS,Qualified,2,,,1163,1/9/1900,1/18/2025,
"Ankunding, Nienow and Larson",Belgium,51.260197,4.402771,Manufacturing & Production,Micro (1-10),Laura Thompson,4/19/2024,SAAS,Qualified,2,,,578,3/20/1900,11/30/2024,
"Parisian, Breitenberg and Prohaska",Germany,52.520008,13.404954,Energy & Utilities,Micro (1-10),Jessica Martinez,4/22/2024,SAAS,Qualified,2,,,701,1/29/1900,2/4/2025,
Stoltenberg and Sons,Switzerland,46.204391,6.143158,Professional Services  & Consulting,Micro (1-10),Michael Brown,4/21/2024,SAAS,Qualified,2,,,779,4/9/1900,7/27/2024,
Haag-Fisher,Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Michael Brown,5/2/2024,SAAS,Qualified,2,,,1083,2/8/1900,7/28/2024,
Ledner-Kessler,Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Laura Thompson,5/6/2024,Custom solution,Qualified,2,,,414,2/28/1900,4/7/2025,
Hodkiewicz-Greenfelder,France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Emily Johnson,2/1/2024,SAAS,Qualified,2,,,472,1/19/1900,6/21/2024,
"Bode, Ritchie and Koss",Germany,52.520008,13.404954,Professional Services  & Consulting,Micro (1-10),Laura Thompson,5/14/2024,SAAS,Qualified,2,,,212,4/9/1900,3/22/2025,
"Yundt, Stokes and Effertz",Germany,52.520008,13.404954,Professional Services  & Consulting,Micro (1-10),Laura Thompson,1/25/2024,Services,Qualified,2,,,911,2/18/1900,9/22/2024,
"Mills, Hilll and Strosin",Belgium,51.260197,4.402771,Banking and Finance,Micro (1-10),Jessica Martinez,5/1/2024,Custom solution,Qualified,2,,,907,2/28/1900,12/25/2024,
Rodriguez-Cummings,Germany,52.520008,13.404954,Professional Services  & Consulting,Micro (1-10),Laura Thompson,3/25/2024,Services,Qualified,2,,,588,1/19/1900,5/3/2024,
Spencer LLC,France,48.864716,2.349014,IT & IT Services,Micro (1-10),Kevin Anderson,5/26/2024,SAAS,Qualified,2,,,593,2/28/1900,1/19/2025,
Mayert-Reinger,Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),David Wilson,3/7/2024,Services,Qualified,2,,,615,1/29/1900,1/11/2025,
"Hand, Strosin and Toy",France,48.864716,2.349014,Telecommunications,Micro (1-10),Jessica Martinez,4/12/2024,Custom solution,Qualified,2,,,1138,1/19/1900,1/30/2025,
"Hegmann, Bergnaum and White",Spain,40.416775,-3.703790,IT & IT Services,Micro (1-10),Laura Thompson,4/6/2024,SAAS,Qualified,2,,,273,1/19/1900,12/22/2024,
"Heathcote, Thiel and Aufderhar",Belgium,51.260197,4.402771,Government Administration Healthcare,Micro (1-10),Michael Brown,4/10/2024,SAAS,Qualified,2,,,585,3/30/1900,6/10/2024,
White-Davis,Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Jessica Martinez,2/4/2024,Services,Qualified,2,,,414,1/29/1900,5/18/2024,
Nader-Stroman,France,48.864716,2.349014,IT & IT Services,Micro (1-10),Laura Thompson,5/17/2024,SAAS,Qualified,2,,,944,1/29/1900,3/27/2025,
Crooks-Schimmel,France,48.864716,2.349014,IT & IT Services,Micro (1-10),John Smith,3/4/2024,SAAS,Qualified,2,,,922,4/9/1900,7/27/2024,
Stroman-Yundt,Spain,40.416775,-3.703790,Construction & Engineering,Micro (1-10),Sarah Davis,2/10/2024,SAAS,Qualified,2,,,499,1/29/1900,11/14/2024,
"Reinger, Marquardt and Durgan",Switzerland,46.204391,6.143158,Education & Science,Micro (1-10),Jessica Martinez,4/21/2024,Services,Qualified,2,,,971,1/9/1900,4/21/2025,
Hermann and Sons,Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Emily Johnson,5/5/2024,Services,Qualified,2,,,334,1/29/1900,5/27/2024,
Robel Inc,Switzerland,46.204391,6.143158,IT & IT Services,Micro (1-10),Michael Brown,2/9/2024,SAAS,Qualified,2,,,662,1/29/1900,2/7/2025,
Hilll-Skiles,Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Laura Thompson,3/5/2024,SAAS,Qualified,2,,,618,2/8/1900,4/9/2024,
"Pagac, Huel and Emmerich",Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Michael Brown,4/28/2024,SAAS,Qualified,2,,,567,1/29/1900,3/30/2025,
"Klein, Wintheiser and Macejkovic",Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),Kevin Anderson,3/18/2024,Services,Qualified,2,,,604,2/8/1900,2/18/2025,
"Swift, Kunze and Schumm",Netherlands,52.370216,4.895168,Professional Services  & Consulting,Micro (1-10),Jessica Martinez,3/12/2024,Services,Qualified,2,,,473,3/10/1900,5/12/2024,
"Lubowitz, Padberg and Romaguera",Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),John Smith,5/21/2024,Services,Qualified,2,,,633,2/18/1900,2/8/2025,
Flatley-Huels,Portugal,38.736946,-9.142685,Banking and Finance,Micro (1-10),Laura Thompson,1/27/2024,SAAS,Qualified,2,,,536,2/8/1900,2/16/2024,
"McDermott, Balistreri and Effertz",Germany,52.520008,13.404954,Recreation & Sports,Micro (1-10),Michael Brown,5/26/2024,SAAS,Qualified,2,,,854,2/28/1900,7/2/2024,
Wordify,Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Medium (201-500),Michael Brown,5/20/2024,Services,Qualified,2,,,1839,3/20/1900,6/9/2024,
Fivechat,Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),Laura Thompson,2/5/2024,SAAS,Qualified,2,,,1689,2/8/1900,4/29/2024,
Dazzlesphere,France,48.864716,2.349014,Education & Science,Medium (201-500),Jessica Martinez,4/23/2024,Custom solution,Qualified,2,,,984,1/29/1900,2/9/2025,
Meejo,France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),Laura Thompson,3/11/2024,SAAS,Qualified,2,,,5945,1/19/1900,4/22/2024,
Ozu,Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Kevin Anderson,3/15/2024,Services,Qualified,2,,,992,1/19/1900,5/18/2024,
Voonte,Netherlands,52.370216,4.895168,Transportation & Logistics,Medium (201-500),Jessica Martinez,3/15/2024,SAAS,Qualified,2,,,1516,2/8/1900,7/5/2024,
Jabbersphere,Spain,40.416775,-3.703790,Transportation & Logistics,Medium (201-500),David Wilson,2/1/2024,Services,Qualified,2,,,1937,2/28/1900,5/11/2024,
Gabcube,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Sarah Davis,2/19/2024,SAAS,Qualified,2,,,377,2/8/1900,4/8/2024,
Zoombox,Spain,40.416775,-3.703790,Banking and Finance,Medium (201-500),Laura Thompson,1/10/2024,SAAS,Qualified,2,,,7200,2/8/1900,7/28/2024,
Oyope,Netherlands,52.370216,4.895168,Entertainment & Media & Hospitality,Medium (201-500),Emily Johnson,4/5/2024,SAAS,Qualified,2,,,6884,4/9/1900,11/9/2024,
Topicstorm,Spain,40.416775,-3.703790,Telecommunications,Medium (201-500),Laura Thompson,3/1/2024,Services,Qualified,2,,,3935,3/10/1900,7/19/2024,
Vidoo,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Sarah Davis,2/14/2024,SAAS,Qualified,2,,,5401,1/29/1900,1/7/2025,
Gabtype,Germany,52.520008,13.404954,Manufacturing & Production,Medium (201-500),Emily Johnson,2/14/2024,SAAS,Qualified,2,,,3336,2/8/1900,2/10/2025,
Skyba,Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),Laura Thompson,1/21/2024,SAAS,Qualified,2,,,2944,1/29/1900,4/24/2024,
Dynava,France,48.864716,2.349014,Recreation & Sports,Medium (201-500),Michael Brown,1/5/2024,Services,Qualified,2,,,2186,1/29/1900,6/14/2024,
Oyoyo,Italy,41.902782,12.496366,Education & Science,Medium (201-500),Emily Johnson,3/24/2024,Custom solution,Qualified,2,,,6479,4/9/1900,11/25/2024,
Roombo,France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),Jessica Martinez,1/19/2024,SAAS,Qualified,2,,,6526,1/9/1900,11/24/2024,
Jabberbean,Switzerland,46.204391,6.143158,Energy & Utilities,Medium (201-500),Laura Thompson,4/22/2024,SAAS,Qualified,2,,,4638,2/8/1900,10/12/2024,
Yakijo,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Jessica Martinez,1/5/2024,SAAS,Qualified,2,,,4652,2/28/1900,2/4/2024,
Mudo,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Kevin Anderson,1/6/2024,Services,Qualified,2,,,5941,2/18/1900,7/8/2024,
Avavee,Portugal,38.736946,-9.142685,Retail & Distribution,Medium (201-500),Laura Thompson,4/14/2024,SAAS,Qualified,2,,,3370,2/18/1900,7/17/2024,
Zoomdog,Germany,52.520008,13.404954,Recreation & Sports,Medium (201-500),Laura Thompson,4/1/2024,Services,Qualified,2,,,7093,2/8/1900,3/31/2025,
Latz,France,48.864716,2.349014,Energy & Utilities,Medium (201-500),Michael Brown,5/30/2024,Services,Qualified,2,,,4407,2/8/1900,4/10/2025,
Voonder,Spain,40.416775,-3.703790,Construction & Engineering,Medium (201-500),Jessica Martinez,4/22/2024,Services,Qualified,2,,,2950,1/29/1900,3/3/2025,
Heller-Sanford,Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),David Wilson,5/26/2024,Services,Qualified,2,,,2431,1/19/1900,11/9/2024,
"Aufderhar, Crona and Wilkinson",France,48.864716,2.349014,Telecommunications,Medium (201-500),Jessica Martinez,5/11/2024,SAAS,Qualified,2,,,2924,1/29/1900,3/9/2025,
"Smitham, Russel and O'Connell",Austria,48.210033,16.363449,Banking and Finance,Medium (201-500),Michael Brown,1/26/2024,Services,Qualified,2,,,7400,1/29/1900,6/10/2024,
"Boehm, Rosenbaum and Beahan",Spain,40.416775,-3.703790,Government Administration Healthcare,Medium (201-500),Laura Thompson,2/23/2024,SAAS,Qualified,2,,,3191,2/8/1900,11/21/2024,
"Parisian, MacGyver and Moen",Spain,40.416775,-3.703790,Education & Science,Medium (201-500),Laura Thompson,2/10/2024,Services,Qualified,2,,,7968,1/19/1900,8/31/2024,
Reichert-Howe,France,48.864716,2.349014,Banking and Finance,Medium (201-500),Michael Brown,5/12/2024,Services,Qualified,2,,,5251,1/19/1900,8/23/2024,
Beahan Group,Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),Laura Thompson,2/24/2024,Services,Qualified,2,,,7458,2/8/1900,12/7/2024,
Fahey-Pouros,Belgium,51.260197,4.402771,IT & IT Services,Medium (201-500),Emily Johnson,1/16/2024,SAAS,Qualified,2,,,2346,1/9/1900,7/25/2024,
"Zemlak, O'Hara and Wilderman",Italy,41.902782,12.496366,Professional Services  & Consulting,Medium (201-500),Michael Brown,4/23/2024,Services,Qualified,2,,,354,1/29/1900,4/13/2025,
"Rempel, King and Wehner",Portugal,38.736946,-9.142685,Recreation & Sports,Medium (201-500),Michael Brown,3/15/2024,Custom solution,Qualified,2,,,3855,2/28/1900,6/17/2024,
Schmidt Group,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Kevin Anderson,3/29/2024,SAAS,Qualified,2,,,4368,1/19/1900,10/18/2024,
"Gottlieb, Jakubowski and Rowe",Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),John Smith,2/25/2024,Services,Qualified,2,,,449,1/19/1900,2/15/2025,
Wilkinson and Sons,Italy,41.902782,12.496366,Construction & Engineering,Medium (201-500),Emily Johnson,4/30/2024,SAAS,Qualified,2,,,5205,1/29/1900,6/16/2024,
"Ankunding, Casper and Leuschke",Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Michael Brown,1/20/2024,Services,Qualified,2,,,5539,4/9/1900,7/20/2024,
Kulas Inc,France,48.864716,2.349014,Banking and Finance,Medium (201-500),David Wilson,3/7/2024,Custom solution,Qualified,2,,,4855,2/18/1900,11/27/2024,
Olson-Lakin,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Kevin Anderson,5/21/2024,SAAS,Qualified,2,,,7008,3/10/1900,12/16/2024,
"Cartwright, Bosco and Schuppe",France,48.864716,2.349014,Recreation & Sports,Medium (201-500),Jessica Martinez,5/22/2024,Services,Qualified,2,,,5121,1/19/1900,8/8/2024,
"VonRueden, Murray and Mosciski",Portugal,38.736946,-9.142685,Banking and Finance,Medium (201-500),Kevin Anderson,3/17/2024,Services,Qualified,2,,,6482,1/29/1900,5/6/2024,
Kiehn Inc,Switzerland,46.204391,6.143158,Retail & Distribution,Medium (201-500),Laura Thompson,5/23/2024,Custom solution,Qualified,2,,,2686,3/10/1900,2/16/2025,
"Daugherty, Keeling and Leannon",Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),Emily Johnson,4/12/2024,Services,Qualified,2,,,7610,2/8/1900,12/7/2024,
"Brakus, Huel and Hamill",Portugal,38.736946,-9.142685,Banking and Finance,Medium (201-500),Emily Johnson,2/6/2024,SAAS,Qualified,2,,,5020,1/29/1900,11/2/2024,
Legros-Effertz,Germany,52.520008,13.404954,Government Administration Healthcare,Medium (201-500),Jessica Martinez,5/22/2024,SAAS,Qualified,2,,,5132,1/29/1900,5/9/2025,
Lueilwitz-Spencer,Switzerland,46.204391,6.143158,Telecommunications,Medium (201-500),Michael Brown,4/29/2024,SAAS,Qualified,2,,,4531,1/29/1900,6/20/2024,
"Waters, Gislason and Auer",France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),Michael Brown,1/6/2024,SAAS,Qualified,2,,,5617,2/8/1900,9/6/2024,
"Schamberger, Runte and Lehner",Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Laura Thompson,1/31/2024,Services,Qualified,2,,,1250,2/18/1900,5/7/2024,
Carter-Sanford,France,48.864716,2.349014,Construction & Engineering,Medium (201-500),Sarah Davis,4/12/2024,Services,Qualified,2,,,3831,2/28/1900,10/3/2024,
Mann-Braun,France,48.864716,2.349014,Agriculture & Mining,Medium (201-500),Laura Thompson,3/2/2024,Custom solution,Qualified,2,,,3962,2/18/1900,7/23/2024,
"Terry, Cole and Zemlak",Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Laura Thompson,1/24/2024,Services,Qualified,2,,,3657,2/8/1900,4/14/2024,
Christiansen-Hartmann,Germany,52.520008,13.404954,Energy & Utilities,Medium (201-500),Jessica Martinez,2/23/2024,Custom solution,Qualified,2,,,3597,2/18/1900,5/4/2024,
"Mraz, Bernier and Satterfield",Spain,40.416775,-3.703790,Recreation & Sports,Medium (201-500),Sarah Davis,1/13/2024,SAAS,Qualified,2,,,5065,4/9/1900,11/10/2024,
"Nader, Bednar and Macejkovic",Switzerland,46.204391,6.143158,Professional Services  & Consulting,Medium (201-500),Michael Brown,4/19/2024,Services,Qualified,2,,,6487,1/19/1900,9/21/2024,
Schimmel-Denesik,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Emily Johnson,4/12/2024,Custom solution,Qualified,2,,,4611,3/30/1900,6/4/2024,
"Cummings, Weimann and Zulauf",Italy,41.902782,12.496366,Professional Services  & Consulting,Medium (201-500),Sarah Davis,4/19/2024,Custom solution,Qualified,2,,,2657,1/29/1900,10/6/2024,
Aufderhar Inc,Belgium,51.260197,4.402771,Telecommunications,Medium (201-500),John Smith,2/6/2024,SAAS,Qualified,2,,,5314,1/9/1900,7/29/2024,
Watsica-Pollich,Germany,52.520008,13.404954,Telecommunications,Medium (201-500),Sarah Davis,2/25/2024,Services,Qualified,2,,,7450,3/10/1900,5/1/2024,
Hilll-Stehr,Portugal,38.736946,-9.142685,Energy & Utilities,Medium (201-500),Kevin Anderson,3/27/2024,SAAS,Qualified,2,,,5717,2/28/1900,9/29/2024,
Dooley Group,Germany,52.520008,13.404954,Telecommunications,Medium (201-500),Michael Brown,3/6/2024,SAAS,Qualified,2,,,1475,1/19/1900,5/6/2024,
Lebsack-Carroll,Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),Laura Thompson,1/28/2024,Services,Qualified,2,,,623,1/19/1900,4/30/2024,
Tremblay and Sons,France,48.864716,2.349014,IT & IT Services,Medium (201-500),David Wilson,5/17/2024,Custom solution,Qualified,2,,,4917,1/19/1900,1/13/2025,
Wiegand-Schroeder,Switzerland,46.204391,6.143158,Telecommunications,Medium (201-500),Michael Brown,2/24/2024,Services,Qualified,2,,,7208,2/18/1900,10/18/2024,
Reynolds Inc,Switzerland,46.204391,6.143158,Agriculture & Mining,Medium (201-500),Michael Brown,1/9/2024,SAAS,Qualified,2,,,4534,1/9/1900,2/10/2024,
Huel-Smitham,Italy,41.902782,12.496366,Education & Science,Medium (201-500),Laura Thompson,4/6/2024,SAAS,Qualified,2,,,7112,2/8/1900,8/25/2024,
Cassin Group,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Emily Johnson,1/9/2024,Services,Qualified,2,,,2505,2/28/1900,9/10/2024,
"Effertz, Stark and DuBuque",Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Jessica Martinez,3/19/2024,Services,Qualified,2,,,2181,4/9/1900,11/20/2024,
Harris-Lockman,Switzerland,46.204391,6.143158,Agriculture & Mining,Medium (201-500),Laura Thompson,1/11/2024,Services,Qualified,2,,,5144,2/8/1900,7/21/2024,
"Klocko, Herzog and Ruecker",Spain,40.416775,-3.703790,IT & IT Services,Medium (201-500),Laura Thompson,1/20/2024,SAAS,Qualified,2,,,2097,1/19/1900,12/12/2024,
Gibson Inc,France,48.864716,2.349014,Manufacturing & Production,Medium (201-500),Laura Thompson,5/17/2024,Custom solution,Qualified,2,,,4640,1/19/1900,2/22/2025,
Dickinson-Murphy,France,48.864716,2.349014,Entertainment & Media & Hospitality,Medium (201-500),Laura Thompson,2/9/2024,SAAS,Qualified,2,,,3447,2/8/1900,1/12/2025,
Bernier-Beatty,France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),Laura Thompson,3/17/2024,SAAS,Qualified,2,,,7072,3/20/1900,4/6/2024,
Daugherty LLC,Belgium,51.260197,4.402771,Transportation & Logistics,Medium (201-500),Michael Brown,2/27/2024,Services,Qualified,2,,,4044,2/8/1900,8/18/2024,
Ziemann-Kessler,Germany,52.520008,13.404954,Construction & Engineering,Medium (201-500),Michael Brown,1/31/2024,SAAS,Qualified,2,,,6569,3/30/1900,4/5/2024,
"Schumm, Crona and Auer",Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Sarah Davis,3/17/2024,Services,Qualified,2,,,2969,1/29/1900,6/23/2024,
Crooks-Green,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Sarah Davis,2/6/2024,Custom solution,Qualified,2,,,4957,3/30/1900,12/14/2024,
Pacocha-Bartell,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Jessica Martinez,5/12/2024,Services,Qualified,2,,,6457,1/29/1900,3/6/2025,
Thompson-Osinski,Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Emily Johnson,3/13/2024,SAAS,Qualified,2,,,2032,1/19/1900,3/12/2025,
Little-Runte,Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Emily Johnson,2/3/2024,SAAS,Qualified,2,,,1523,2/28/1900,1/12/2025,
"Weissnat, Stamm and Marquardt",Netherlands,52.370216,4.895168,Banking and Finance,Medium (201-500),Laura Thompson,2/16/2024,Custom solution,Qualified,2,,,4986,2/28/1900,12/29/2024,
Kuphal Inc,Spain,40.416775,-3.703790,Banking and Finance,Medium (201-500),Laura Thompson,5/3/2024,Services,Qualified,2,,,3346,2/18/1900,3/25/2025,
Jaskolski-Welch,Austria,48.210033,16.363449,Retail & Distribution,Medium (201-500),Jessica Martinez,3/17/2024,Services,Qualified,2,,,6674,1/29/1900,9/10/2024,
"Shanahan, O'Keefe and Lemke",Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),Laura Thompson,3/7/2024,SAAS,Qualified,2,,,7677,2/8/1900,9/29/2024,
Heller-Morissette,Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Jessica Martinez,1/7/2024,SAAS,Qualified,2,,,1132,1/29/1900,6/9/2024,
Goldner Inc,Switzerland,46.204391,6.143158,Telecommunications,Medium (201-500),Laura Thompson,3/21/2024,Custom solution,Qualified,2,,,639,2/18/1900,5/30/2024,
Hyatt-Pouros,Switzerland,46.204391,6.143158,Education & Science,Medium (201-500),Kevin Anderson,4/13/2024,Custom solution,Qualified,2,,,257,1/19/1900,6/4/2024,
"Kshlerin, Jacobson and Funk",Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),John Smith,2/8/2024,SAAS,Qualified,2,,,5783,2/8/1900,4/6/2024,
"Heidenreich, MacGyver and Greenholt",Portugal,38.736946,-9.142685,Retail & Distribution,Medium (201-500),Laura Thompson,4/26/2024,Custom solution,Qualified,2,,,1490,2/8/1900,12/11/2024,
"Blanda, Champlin and Rempel",Italy,41.902782,12.496366,Education & Science,Medium (201-500),Laura Thompson,1/29/2024,Custom solution,Qualified,2,,,3366,1/9/1900,11/27/2024,
Funk Inc,Portugal,38.736946,-9.142685,Banking and Finance,Medium (201-500),Jessica Martinez,4/2/2024,Services,Qualified,2,,,1686,2/28/1900,12/28/2024,
Wehner-Dach,Germany,52.520008,13.404954,Education & Science,Medium (201-500),Michael Brown,2/11/2024,Services,Qualified,2,,,2609,1/9/1900,9/23/2024,
VonRueden LLC,Switzerland,46.204391,6.143158,Manufacturing & Production,Medium (201-500),Laura Thompson,2/26/2024,SAAS,Qualified,2,,,1564,3/20/1900,11/10/2024,
Connelly and Sons,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Laura Thompson,3/29/2024,SAAS,Qualified,2,,,4067,1/9/1900,10/15/2024,
McKenzie-Spinka,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),David Wilson,5/26/2024,SAAS,Qualified,2,,,1309,1/29/1900,9/6/2024,
"Tillman, Hand and Lesch",France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),Jessica Martinez,3/12/2024,Services,Qualified,2,,,7137,1/9/1900,10/1/2024,
Von-Ritchie,Austria,48.210033,16.363449,Telecommunications,Medium (201-500),Jessica Martinez,4/22/2024,Services,Qualified,2,,,4458,2/18/1900,9/15/2024,
Batz LLC,Austria,48.210033,16.363449,Transportation & Logistics,Medium (201-500),Michael Brown,1/31/2024,Services,Qualified,2,,,5419,2/18/1900,11/20/2024,
Reilly LLC,Austria,48.210033,16.363449,Transportation & Logistics,Medium (201-500),Emily Johnson,1/3/2024,Services,Qualified,2,,,1938,2/8/1900,12/10/2024,
Kirlin-Bartell,Italy,41.902782,12.496366,Retail & Distribution,Medium (201-500),Laura Thompson,1/31/2024,Services,Qualified,2,,,3660,3/30/1900,12/13/2024,
Buckridge-Hickle,Germany,52.520008,13.404954,IT & IT Services,Medium (201-500),Michael Brown,4/22/2024,Custom solution,Qualified,2,,,5705,2/28/1900,6/7/2024,
Daugherty Inc,Germany,52.520008,13.404954,Recreation & Sports,Medium (201-500),Michael Brown,1/13/2024,Services,Qualified,2,,,353,1/9/1900,2/19/2024,
"Gusikowski, Lakin and Rice",Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),David Wilson,2/19/2024,Custom solution,Qualified,2,,,332,3/20/1900,12/13/2024,
Orn-Crist,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Jessica Martinez,2/14/2024,Services,Qualified,2,,,6283,2/8/1900,11/11/2024,
Metz Inc,Portugal,38.736946,-9.142685,Recreation & Sports,Medium (201-500),Michael Brown,4/10/2024,Custom solution,Qualified,2,,,6709,1/19/1900,1/18/2025,
Hermann Group,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Sarah Davis,4/3/2024,Custom solution,Qualified,2,,,982,2/8/1900,1/23/2025,
"Flatley, Lemke and Grady",Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Sarah Davis,2/22/2024,Services,Qualified,2,,,6298,3/30/1900,12/31/2024,
"Terry, Gleichner and Stehr",Austria,48.210033,16.363449,Professional Services  & Consulting,Medium (201-500),Laura Thompson,3/7/2024,SAAS,Qualified,2,,,4983,1/9/1900,2/13/2025,
"Barton, Altenwerth and Bailey",Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Kevin Anderson,1/9/2024,Custom solution,Qualified,2,,,4937,2/18/1900,8/26/2024,
Kautzer Group,Germany,52.520008,13.404954,Energy & Utilities,Medium (201-500),Michael Brown,2/17/2024,SAAS,Qualified,2,,,5953,1/19/1900,3/30/2024,
"Turcotte, Anderson and Cormier",Italy,41.902782,12.496366,Energy & Utilities,Medium (201-500),Laura Thompson,3/1/2024,Services,Qualified,2,,,6065,1/29/1900,10/4/2024,
"Kuphal, Schmeler and Christiansen",France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),John Smith,5/21/2024,SAAS,Qualified,2,,,1341,2/28/1900,9/8/2024,
Kuvalis Group,Austria,48.210033,16.363449,Entertainment & Media & Hospitality,Medium (201-500),Laura Thompson,2/26/2024,Custom solution,Qualified,2,,,4659,4/9/1900,6/24/2024,
Hilpert-Auer,Italy,41.902782,12.496366,Education & Science,Medium (201-500),Sarah Davis,2/24/2024,Services,Qualified,2,,,6927,2/8/1900,11/12/2024,
Smitham Group,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Sarah Davis,5/24/2024,Custom solution,Qualified,2,,,4714,2/8/1900,10/26/2024,
Stokes and Sons,Spain,40.416775,-3.703790,Transportation & Logistics,Medium (201-500),John Smith,1/18/2024,SAAS,Qualified,2,,,3326,2/8/1900,9/5/2024,
Mills Group,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),John Smith,3/13/2024,Services,Qualified,2,,,7823,1/29/1900,5/25/2024,
"Considine, Treutel and Koss",Portugal,38.736946,-9.142685,Professional Services  & Consulting,Medium (201-500),Laura Thompson,1/24/2024,Services,Qualified,2,,,5707,2/18/1900,4/3/2024,
"Senger, Goldner and Simonis",Italy,41.902782,12.496366,Agriculture & Mining,Medium (201-500),Sarah Davis,4/17/2024,SAAS,Qualified,2,,,6509,3/10/1900,2/12/2025,
"Grant, Blanda and Block",Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),Kevin Anderson,3/1/2024,Custom solution,Qualified,2,,,2420,2/18/1900,9/28/2024,
Herzog LLC,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Laura Thompson,2/16/2024,SAAS,Qualified,2,,,7198,1/29/1900,10/9/2024,
